Logger firmware: Prestolog 0.1 detected.
81 46687 #GYRO TIME RAWRATE
82 45355 #GYRO TIME RAWRATE
83 46247 #GYRO TIME RAWRATE
84 45552 #GYRO TIME RAWRATE
85 46160 #GYRO TIME RAWRATE
86 46938 #GYRO TIME RAWRATE
87 45961 #GYRO TIME RAWRATE
88 45786 #GYRO TIME RAWRATE
89 46214 #GYRO TIME RAWRATE
90 46015 #GYRO TIME RAWRATE
91 44754 #GYRO TIME RAWRATE
92 45713 #GYRO TIME RAWRATE
93 45479 #GYRO TIME RAWRATE
94 45909 #GYRO TIME RAWRATE
95 46517 #GYRO TIME RAWRATE
96 45893 #GYRO TIME RAWRATE
97 46034 #GYRO TIME RAWRATE
98 45708 #GYRO TIME RAWRATE
99 45408 #GYRO TIME RAWRATE
100 46488 #GYRO TIME RAWRATE
101 45795 #GYRO TIME RAWRATE
102 46579 #GYRO TIME RAWRATE
103 45964 #GYRO TIME RAWRATE
104 46177 #GYRO TIME RAWRATE
105 45625 #GYRO TIME RAWRATE
106 45732 #GYRO TIME RAWRATE
107 46206 #GYRO TIME RAWRATE
108 46764 #GYRO TIME RAWRATE
109 44963 #GYRO TIME RAWRATE
110 45324 #GYRO TIME RAWRATE
111 46188 #GYRO TIME RAWRATE
112 46937 #GYRO TIME RAWRATE
113 45356 #GYRO TIME RAWRATE
114 46417 #GYRO TIME RAWRATE
115 46493 #GYRO TIME RAWRATE
116 45755 #GYRO TIME RAWRATE
117 45324 #GYRO TIME RAWRATE
118 46099 #GYRO TIME RAWRATE
119 45861 #GYRO TIME RAWRATE
120 46569 #GYRO TIME RAWRATE
121 45461 #GYRO TIME RAWRATE
122 46133 #GYRO TIME RAWRATE
123 45386 #GYRO TIME RAWRATE
124 46788 #GYRO TIME RAWRATE
125 46082 #GYRO TIME RAWRATE
126 45528 #GYRO TIME RAWRATE
127 45527 #GYRO TIME RAWRATE
128 45304 #GYRO TIME RAWRATE
129 46113 #GYRO TIME RAWRATE
130 46115 #GYRO TIME RAWRATE
131 46298 #GYRO TIME RAWRATE
132 47236 #GYRO TIME RAWRATE
133 46925 #GYRO TIME RAWRATE
134 45854 #GYRO TIME RAWRATE
135 45200 #GYRO TIME RAWRATE
136 44957 #GYRO TIME RAWRATE
137 46934 #GYRO TIME RAWRATE
138 45697 #GYRO TIME RAWRATE
139 45392 #GYRO TIME RAWRATE
140 46456 #GYRO TIME RAWRATE
141 46722 #GYRO TIME RAWRATE
142 46381 #GYRO TIME RAWRATE
143 45649 #GYRO TIME RAWRATE
144 46205 #GYRO TIME RAWRATE
145 45691 #GYRO TIME RAWRATE
146 45515 #GYRO TIME RAWRATE
147 45487 #GYRO TIME RAWRATE
148 46282 #GYRO TIME RAWRATE
149 46129 #GYRO TIME RAWRATE
150 46630 #GYRO TIME RAWRATE
151 45475 #GYRO TIME RAWRATE
152 45628 #GYRO TIME RAWRATE
153 45964 #GYRO TIME RAWRATE
154 46084 #GYRO TIME RAWRATE
155 45769 #GYRO TIME RAWRATE
156 45528 #GYRO TIME RAWRATE
157 46439 #GYRO TIME RAWRATE
158 46215 #GYRO TIME RAWRATE
159 45076 #GYRO TIME RAWRATE
160 45231 #GYRO TIME RAWRATE
161 45857 #GYRO TIME RAWRATE
162 46437 #GYRO TIME RAWRATE
163 46274 #GYRO TIME RAWRATE
164 45637 #GYRO TIME RAWRATE
165 46380 #GYRO TIME RAWRATE
166 46269 #GYRO TIME RAWRATE
167 46566 #GYRO TIME RAWRATE
168 46135 #GYRO TIME RAWRATE
169 45639 #GYRO TIME RAWRATE
170 46042 #GYRO TIME RAWRATE
171 46662 #GYRO TIME RAWRATE
172 46949 #GYRO TIME RAWRATE
173 45465 #GYRO TIME RAWRATE
174 45789 #GYRO TIME RAWRATE
175 46330 #GYRO TIME RAWRATE
176 45863 #GYRO TIME RAWRATE
177 46285 #GYRO TIME RAWRATE
178 45448 #GYRO TIME RAWRATE
179 47682 #GYRO TIME RAWRATE
180 46838 #GYRO TIME RAWRATE
181 47469 #GYRO TIME RAWRATE
182 46206 #GYRO TIME RAWRATE
183 46452 #GYRO TIME RAWRATE
184 46102 #GYRO TIME RAWRATE
185 46132 #GYRO TIME RAWRATE
186 45783 #GYRO TIME RAWRATE
187 45792 #GYRO TIME RAWRATE
188 46938 #GYRO TIME RAWRATE
189 46308 #GYRO TIME RAWRATE
190 46047 #GYRO TIME RAWRATE
191 45148 #GYRO TIME RAWRATE
192 45806 #GYRO TIME RAWRATE
193 46059 #GYRO TIME RAWRATE
194 45421 #GYRO TIME RAWRATE
195 45100 #GYRO TIME RAWRATE
196 46075 #GYRO TIME RAWRATE
197 45322 #GYRO TIME RAWRATE
198 46656 #GYRO TIME RAWRATE
199 45283 #GYRO TIME RAWRATE
200 45394 #GYRO TIME RAWRATE
201 46747 #GYRO TIME RAWRATE
202 45462 #GYRO TIME RAWRATE
203 46186 #GYRO TIME RAWRATE
204 44457 #GYRO TIME RAWRATE
205 44999 #GYRO TIME RAWRATE
206 45816 #GYRO TIME RAWRATE
207 45524 #GYRO TIME RAWRATE
208 46255 #GYRO TIME RAWRATE
209 46648 #GYRO TIME RAWRATE
210 47759 #GYRO TIME RAWRATE
211 46160 #GYRO TIME RAWRATE
212 45215 #GYRO TIME RAWRATE
213 45949 #GYRO TIME RAWRATE
214 46849 #GYRO TIME RAWRATE
215 46382 #GYRO TIME RAWRATE
216 46606 #GYRO TIME RAWRATE
217 46898 #GYRO TIME RAWRATE
218 46508 #GYRO TIME RAWRATE
219 47113 #GYRO TIME RAWRATE
220 46277 #GYRO TIME RAWRATE
221 45541 #GYRO TIME RAWRATE
222 45982 #GYRO TIME RAWRATE
223 47100 #GYRO TIME RAWRATE
224 46303 #GYRO TIME RAWRATE
225 45483 #GYRO TIME RAWRATE
226 46335 #GYRO TIME RAWRATE
227 46325 #GYRO TIME RAWRATE
228 46207 #GYRO TIME RAWRATE
229 46025 #GYRO TIME RAWRATE
230 46447 #GYRO TIME RAWRATE
231 46048 #GYRO TIME RAWRATE
232 46191 #GYRO TIME RAWRATE
233 45623 #GYRO TIME RAWRATE
234 46330 #GYRO TIME RAWRATE
235 45450 #GYRO TIME RAWRATE
236 45690 #GYRO TIME RAWRATE
237 47077 #GYRO TIME RAWRATE
238 47222 #GYRO TIME RAWRATE
239 45711 #GYRO TIME RAWRATE
240 46009 #GYRO TIME RAWRATE
241 45708 #GYRO TIME RAWRATE
242 46383 #GYRO TIME RAWRATE
243 45425 #GYRO TIME RAWRATE
244 46151 #GYRO TIME RAWRATE
245 45714 #GYRO TIME RAWRATE
246 46568 #GYRO TIME RAWRATE
247 45414 #GYRO TIME RAWRATE
248 46335 #GYRO TIME RAWRATE
249 46612 #GYRO TIME RAWRATE
250 45022 #GYRO TIME RAWRATE
251 46161 #GYRO TIME RAWRATE
252 46561 #GYRO TIME RAWRATE
253 45363 #GYRO TIME RAWRATE
254 46819 #GYRO TIME RAWRATE
255 44441 #GYRO TIME RAWRATE
256 46197 #GYRO TIME RAWRATE
257 46137 #GYRO TIME RAWRATE
258 46175 #GYRO TIME RAWRATE
259 45242 #GYRO TIME RAWRATE
260 45102 #GYRO TIME RAWRATE
261 45891 #GYRO TIME RAWRATE
262 46147 #GYRO TIME RAWRATE
263 47151 #GYRO TIME RAWRATE
264 44886 #GYRO TIME RAWRATE
265 45904 #GYRO TIME RAWRATE
266 45878 #GYRO TIME RAWRATE
267 45393 #GYRO TIME RAWRATE
268 46017 #GYRO TIME RAWRATE
269 45793 #GYRO TIME RAWRATE
270 46316 #GYRO TIME RAWRATE
271 44683 #GYRO TIME RAWRATE
272 46770 #GYRO TIME RAWRATE
273 46491 #GYRO TIME RAWRATE
274 46173 #GYRO TIME RAWRATE
275 46637 #GYRO TIME RAWRATE
276 46486 #GYRO TIME RAWRATE
277 45821 #GYRO TIME RAWRATE
278 46271 #GYRO TIME RAWRATE
279 46386 #GYRO TIME RAWRATE
280 46331 #GYRO TIME RAWRATE
281 46189 #GYRO TIME RAWRATE
282 46243 #GYRO TIME RAWRATE
283 46044 #GYRO TIME RAWRATE
284 46358 #GYRO TIME RAWRATE
285 46698 #GYRO TIME RAWRATE
286 45939 #GYRO TIME RAWRATE
287 46067 #GYRO TIME RAWRATE
288 45065 #GYRO TIME RAWRATE
289 46188 #GYRO TIME RAWRATE
290 46034 #GYRO TIME RAWRATE
291 45727 #GYRO TIME RAWRATE
292 46332 #GYRO TIME RAWRATE
293 46782 #GYRO TIME RAWRATE
294 45942 #GYRO TIME RAWRATE
295 45876 #GYRO TIME RAWRATE
296 45475 #GYRO TIME RAWRATE
297 46507 #GYRO TIME RAWRATE
298 45836 #GYRO TIME RAWRATE
299 46368 #GYRO TIME RAWRATE
300 46047 #GYRO TIME RAWRATE
301 46262 #GYRO TIME RAWRATE
302 45957 #GYRO TIME RAWRATE
303 45707 #GYRO TIME RAWRATE
304 45777 #GYRO TIME RAWRATE
305 45548 #GYRO TIME RAWRATE
306 45926 #GYRO TIME RAWRATE
307 46346 #GYRO TIME RAWRATE
308 45025 #GYRO TIME RAWRATE
309 46206 #GYRO TIME RAWRATE
310 46469 #GYRO TIME RAWRATE
311 46127 #GYRO TIME RAWRATE
312 45398 #GYRO TIME RAWRATE
313 46483 #GYRO TIME RAWRATE
314 45712 #GYRO TIME RAWRATE
315 46187 #GYRO TIME RAWRATE
316 45024 #GYRO TIME RAWRATE
317 45499 #GYRO TIME RAWRATE
318 46894 #GYRO TIME RAWRATE
319 44722 #GYRO TIME RAWRATE
320 47093 #GYRO TIME RAWRATE
321 45756 #GYRO TIME RAWRATE
322 46441 #GYRO TIME RAWRATE
323 46124 #GYRO TIME RAWRATE
324 45243 #GYRO TIME RAWRATE
325 45503 #GYRO TIME RAWRATE
326 46181 #GYRO TIME RAWRATE
327 45585 #GYRO TIME RAWRATE
328 45644 #GYRO TIME RAWRATE
329 45452 #GYRO TIME RAWRATE
330 46322 #GYRO TIME RAWRATE
331 45910 #GYRO TIME RAWRATE
332 45779 #GYRO TIME RAWRATE
333 45951 #GYRO TIME RAWRATE
334 45188 #GYRO TIME RAWRATE
335 45491 #GYRO TIME RAWRATE
336 45774 #GYRO TIME RAWRATE
337 45986 #GYRO TIME RAWRATE
338 47037 #GYRO TIME RAWRATE
339 46300 #GYRO TIME RAWRATE
340 45965 #GYRO TIME RAWRATE
341 44976 #GYRO TIME RAWRATE
342 46195 #GYRO TIME RAWRATE
343 45935 #GYRO TIME RAWRATE
344 46297 #GYRO TIME RAWRATE
345 47124 #GYRO TIME RAWRATE
346 45528 #GYRO TIME RAWRATE
347 45634 #GYRO TIME RAWRATE
348 45886 #GYRO TIME RAWRATE
349 45202 #GYRO TIME RAWRATE
350 45993 #GYRO TIME RAWRATE
351 45790 #GYRO TIME RAWRATE
352 45509 #GYRO TIME RAWRATE
353 46005 #GYRO TIME RAWRATE
354 46445 #GYRO TIME RAWRATE
355 46210 #GYRO TIME RAWRATE
356 46187 #GYRO TIME RAWRATE
357 45753 #GYRO TIME RAWRATE
358 45766 #GYRO TIME RAWRATE
359 45460 #GYRO TIME RAWRATE
360 45645 #GYRO TIME RAWRATE
361 46169 #GYRO TIME RAWRATE
362 46038 #GYRO TIME RAWRATE
363 45809 #GYRO TIME RAWRATE
364 45159 #GYRO TIME RAWRATE
365 45294 #GYRO TIME RAWRATE
366 47067 #GYRO TIME RAWRATE
367 46316 #GYRO TIME RAWRATE
368 46526 #GYRO TIME RAWRATE
369 45881 #GYRO TIME RAWRATE
370 45135 #GYRO TIME RAWRATE
371 45227 #GYRO TIME RAWRATE
372 46019 #GYRO TIME RAWRATE
373 46036 #GYRO TIME RAWRATE
374 45757 #GYRO TIME RAWRATE
375 45267 #GYRO TIME RAWRATE
376 47073 #GYRO TIME RAWRATE
377 44851 #GYRO TIME RAWRATE
378 46492 #GYRO TIME RAWRATE
379 46036 #GYRO TIME RAWRATE
380 46170 #GYRO TIME RAWRATE
381 45706 #GYRO TIME RAWRATE
382 45984 #GYRO TIME RAWRATE
383 46671 #GYRO TIME RAWRATE
384 45937 #GYRO TIME RAWRATE
385 46642 #GYRO TIME RAWRATE
386 45685 #GYRO TIME RAWRATE
387 46031 #GYRO TIME RAWRATE
388 45913 #GYRO TIME RAWRATE
389 45636 #GYRO TIME RAWRATE
390 45800 #GYRO TIME RAWRATE
391 45174 #GYRO TIME RAWRATE
392 46562 #GYRO TIME RAWRATE
393 45906 #GYRO TIME RAWRATE
394 46927 #GYRO TIME RAWRATE
395 45496 #GYRO TIME RAWRATE
396 45965 #GYRO TIME RAWRATE
397 45361 #GYRO TIME RAWRATE
398 45529 #GYRO TIME RAWRATE
399 46319 #GYRO TIME RAWRATE
400 44903 #GYRO TIME RAWRATE
401 45552 #GYRO TIME RAWRATE
402 46005 #GYRO TIME RAWRATE
403 46846 #GYRO TIME RAWRATE
404 45924 #GYRO TIME RAWRATE
405 45998 #GYRO TIME RAWRATE
406 46777 #GYRO TIME RAWRATE
407 45787 #GYRO TIME RAWRATE
408 46383 #GYRO TIME RAWRATE
409 46419 #GYRO TIME RAWRATE
410 46888 #GYRO TIME RAWRATE
411 46185 #GYRO TIME RAWRATE
412 46102 #GYRO TIME RAWRATE
413 46061 #GYRO TIME RAWRATE
414 46287 #GYRO TIME RAWRATE
415 45878 #GYRO TIME RAWRATE
416 46624 #GYRO TIME RAWRATE
417 45411 #GYRO TIME RAWRATE
418 46136 #GYRO TIME RAWRATE
419 46326 #GYRO TIME RAWRATE
420 45610 #GYRO TIME RAWRATE
421 45541 #GYRO TIME RAWRATE
422 46440 #GYRO TIME RAWRATE
423 45132 #GYRO TIME RAWRATE
424 45059 #GYRO TIME RAWRATE
425 45409 #GYRO TIME RAWRATE
426 46148 #GYRO TIME RAWRATE
427 45950 #GYRO TIME RAWRATE
428 45454 #GYRO TIME RAWRATE
429 45889 #GYRO TIME RAWRATE
430 45170 #GYRO TIME RAWRATE
431 46340 #GYRO TIME RAWRATE
432 45417 #GYRO TIME RAWRATE
433 45879 #GYRO TIME RAWRATE
434 45883 #GYRO TIME RAWRATE
435 46373 #GYRO TIME RAWRATE
436 46342 #GYRO TIME RAWRATE
437 45705 #GYRO TIME RAWRATE
438 46065 #GYRO TIME RAWRATE
439 45648 #GYRO TIME RAWRATE
440 45708 #GYRO TIME RAWRATE
441 45495 #GYRO TIME RAWRATE
442 45572 #GYRO TIME RAWRATE
443 47018 #GYRO TIME RAWRATE
444 45085 #GYRO TIME RAWRATE
445 45814 #GYRO TIME RAWRATE
446 46404 #GYRO TIME RAWRATE
447 45397 #GYRO TIME RAWRATE
448 45805 #GYRO TIME RAWRATE
449 46076 #GYRO TIME RAWRATE
450 45777 #GYRO TIME RAWRATE
451 46613 #GYRO TIME RAWRATE
452 45966 #GYRO TIME RAWRATE
453 45418 #GYRO TIME RAWRATE
454 45426 #GYRO TIME RAWRATE
455 45311 #GYRO TIME RAWRATE
456 45774 #GYRO TIME RAWRATE
457 46549 #GYRO TIME RAWRATE
458 46231 #GYRO TIME RAWRATE
459 45878 #GYRO TIME RAWRATE
460 46381 #GYRO TIME RAWRATE
461 46078 #GYRO TIME RAWRATE
462 45521 #GYRO TIME RAWRATE
463 46228 #GYRO TIME RAWRATE
464 45076 #GYRO TIME RAWRATE
465 45947 #GYRO TIME RAWRATE
466 46258 #GYRO TIME RAWRATE
467 45909 #GYRO TIME RAWRATE
468 45568 #GYRO TIME RAWRATE
469 46639 #GYRO TIME RAWRATE
470 46074 #GYRO TIME RAWRATE
471 46071 #GYRO TIME RAWRATE
472 46567 #GYRO TIME RAWRATE
473 44879 #GYRO TIME RAWRATE
474 46345 #GYRO TIME RAWRATE
475 45803 #GYRO TIME RAWRATE
476 46451 #GYRO TIME RAWRATE
477 45989 #GYRO TIME RAWRATE
478 46376 #GYRO TIME RAWRATE
479 45488 #GYRO TIME RAWRATE
480 47046 #GYRO TIME RAWRATE
481 44952 #GYRO TIME RAWRATE
482 46035 #GYRO TIME RAWRATE
483 46172 #GYRO TIME RAWRATE
484 45582 #GYRO TIME RAWRATE
485 46016 #GYRO TIME RAWRATE
486 45947 #GYRO TIME RAWRATE
487 46421 #GYRO TIME RAWRATE
488 46331 #GYRO TIME RAWRATE
489 46325 #GYRO TIME RAWRATE
490 46386 #GYRO TIME RAWRATE
491 45673 #GYRO TIME RAWRATE
492 46970 #GYRO TIME RAWRATE
493 45847 #GYRO TIME RAWRATE
494 46413 #GYRO TIME RAWRATE
495 45592 #GYRO TIME RAWRATE
496 45813 #GYRO TIME RAWRATE
497 46341 #GYRO TIME RAWRATE
498 45850 #GYRO TIME RAWRATE
499 46424 #GYRO TIME RAWRATE
500 46610 #GYRO TIME RAWRATE
501 46088 #GYRO TIME RAWRATE
502 46619 #GYRO TIME RAWRATE
503 45712 #GYRO TIME RAWRATE
504 45809 #GYRO TIME RAWRATE
505 46453 #GYRO TIME RAWRATE
506 46951 #GYRO TIME RAWRATE
507 45798 #GYRO TIME RAWRATE
508 46330 #GYRO TIME RAWRATE
509 45418 #GYRO TIME RAWRATE
510 46833 #GYRO TIME RAWRATE
511 45775 #GYRO TIME RAWRATE
512 46267 #GYRO TIME RAWRATE
513 46142 #GYRO TIME RAWRATE
514 45329 #GYRO TIME RAWRATE
515 45667 #GYRO TIME RAWRATE
516 45574 #GYRO TIME RAWRATE
517 44747 #GYRO TIME RAWRATE
518 45990 #GYRO TIME RAWRATE
519 46759 #GYRO TIME RAWRATE
520 46701 #GYRO TIME RAWRATE
521 46499 #GYRO TIME RAWRATE
522 45270 #GYRO TIME RAWRATE
523 45565 #GYRO TIME RAWRATE
524 46718 #GYRO TIME RAWRATE
525 46283 #GYRO TIME RAWRATE
526 45315 #GYRO TIME RAWRATE
527 46138 #GYRO TIME RAWRATE
528 46162 #GYRO TIME RAWRATE
529 46104 #GYRO TIME RAWRATE
530 46952 #GYRO TIME RAWRATE
531 45759 #GYRO TIME RAWRATE
532 46699 #GYRO TIME RAWRATE
533 45592 #GYRO TIME RAWRATE
534 46074 #GYRO TIME RAWRATE
535 45879 #GYRO TIME RAWRATE
536 44898 #GYRO TIME RAWRATE
537 46022 #GYRO TIME RAWRATE
538 45607 #GYRO TIME RAWRATE
539 46549 #GYRO TIME RAWRATE
540 46181 #GYRO TIME RAWRATE
541 45556 #GYRO TIME RAWRATE
542 45923 #GYRO TIME RAWRATE
543 46523 #GYRO TIME RAWRATE
544 46693 #GYRO TIME RAWRATE
545 45595 #GYRO TIME RAWRATE
546 46080 #GYRO TIME RAWRATE
547 44422 #GYRO TIME RAWRATE
548 46367 #GYRO TIME RAWRATE
549 44981 #GYRO TIME RAWRATE
550 45352 #GYRO TIME RAWRATE
551 46393 #GYRO TIME RAWRATE
552 46613 #GYRO TIME RAWRATE
553 46566 #GYRO TIME RAWRATE
554 45739 #GYRO TIME RAWRATE
555 44978 #GYRO TIME RAWRATE
556 45810 #GYRO TIME RAWRATE
557 45234 #GYRO TIME RAWRATE
558 46803 #GYRO TIME RAWRATE
559 45770 #GYRO TIME RAWRATE
560 46024 #GYRO TIME RAWRATE
561 45733 #GYRO TIME RAWRATE
562 44968 #GYRO TIME RAWRATE
563 47099 #GYRO TIME RAWRATE
564 47002 #GYRO TIME RAWRATE
565 45328 #GYRO TIME RAWRATE
566 45674 #GYRO TIME RAWRATE
567 46705 #GYRO TIME RAWRATE
568 45472 #GYRO TIME RAWRATE
569 46085 #GYRO TIME RAWRATE
570 44811 #GYRO TIME RAWRATE
571 44719 #GYRO TIME RAWRATE
572 45881 #GYRO TIME RAWRATE
573 46579 #GYRO TIME RAWRATE
574 45461 #GYRO TIME RAWRATE
575 47019 #GYRO TIME RAWRATE
576 45582 #GYRO TIME RAWRATE
577 45559 #GYRO TIME RAWRATE
578 45737 #GYRO TIME RAWRATE
579 46246 #GYRO TIME RAWRATE
580 45495 #GYRO TIME RAWRATE
581 46143 #GYRO TIME RAWRATE
582 45299 #GYRO TIME RAWRATE
583 45494 #GYRO TIME RAWRATE
584 46247 #GYRO TIME RAWRATE
585 46330 #GYRO TIME RAWRATE
586 45526 #GYRO TIME RAWRATE
587 46531 #GYRO TIME RAWRATE
588 45409 #GYRO TIME RAWRATE
589 46368 #GYRO TIME RAWRATE
590 46174 #GYRO TIME RAWRATE
591 45243 #GYRO TIME RAWRATE
592 45487 #GYRO TIME RAWRATE
593 46361 #GYRO TIME RAWRATE
594 46493 #GYRO TIME RAWRATE
595 45735 #GYRO TIME RAWRATE
596 45937 #GYRO TIME RAWRATE
597 46200 #GYRO TIME RAWRATE
598 46525 #GYRO TIME RAWRATE
599 45875 #GYRO TIME RAWRATE
600 46129 #GYRO TIME RAWRATE
601 45864 #GYRO TIME RAWRATE
602 45344 #GYRO TIME RAWRATE
603 44998 #GYRO TIME RAWRATE
604 46323 #GYRO TIME RAWRATE
605 45396 #GYRO TIME RAWRATE
606 45991 #GYRO TIME RAWRATE
607 45927 #GYRO TIME RAWRATE
608 46305 #GYRO TIME RAWRATE
609 45493 #GYRO TIME RAWRATE
610 45071 #GYRO TIME RAWRATE
611 45930 #GYRO TIME RAWRATE
612 46327 #GYRO TIME RAWRATE
613 46407 #GYRO TIME RAWRATE
614 45201 #GYRO TIME RAWRATE
615 45547 #GYRO TIME RAWRATE
616 45969 #GYRO TIME RAWRATE
617 46146 #GYRO TIME RAWRATE
618 46432 #GYRO TIME RAWRATE
619 46267 #GYRO TIME RAWRATE
620 44804 #GYRO TIME RAWRATE
621 45545 #GYRO TIME RAWRATE
622 45236 #GYRO TIME RAWRATE
623 45769 #GYRO TIME RAWRATE
624 45769 #GYRO TIME RAWRATE
625 45990 #GYRO TIME RAWRATE
626 46241 #GYRO TIME RAWRATE
627 45732 #GYRO TIME RAWRATE
628 45850 #GYRO TIME RAWRATE
629 46866 #GYRO TIME RAWRATE
630 45401 #GYRO TIME RAWRATE
631 45680 #GYRO TIME RAWRATE
632 45451 #GYRO TIME RAWRATE
633 45863 #GYRO TIME RAWRATE
634 45379 #GYRO TIME RAWRATE
635 46104 #GYRO TIME RAWRATE
636 46772 #GYRO TIME RAWRATE
637 46249 #GYRO TIME RAWRATE
638 46651 #GYRO TIME RAWRATE
639 44815 #GYRO TIME RAWRATE
640 46319 #GYRO TIME RAWRATE
641 45535 #GYRO TIME RAWRATE
642 45244 #GYRO TIME RAWRATE
643 45302 #GYRO TIME RAWRATE
644 46430 #GYRO TIME RAWRATE
645 45809 #GYRO TIME RAWRATE
646 45486 #GYRO TIME RAWRATE
647 45329 #GYRO TIME RAWRATE
648 46057 #GYRO TIME RAWRATE
649 45783 #GYRO TIME RAWRATE
650 46620 #GYRO TIME RAWRATE
651 46478 #GYRO TIME RAWRATE
652 46507 #GYRO TIME RAWRATE
653 46795 #GYRO TIME RAWRATE
654 46119 #GYRO TIME RAWRATE
655 45713 #GYRO TIME RAWRATE
656 45831 #GYRO TIME RAWRATE
657 46093 #GYRO TIME RAWRATE
658 45868 #GYRO TIME RAWRATE
659 46752 #GYRO TIME RAWRATE
660 45071 #GYRO TIME RAWRATE
661 46216 #GYRO TIME RAWRATE
662 46210 #GYRO TIME RAWRATE
663 46399 #GYRO TIME RAWRATE
664 46159 #GYRO TIME RAWRATE
665 46189 #GYRO TIME RAWRATE
666 46235 #GYRO TIME RAWRATE
667 46599 #GYRO TIME RAWRATE
668 46434 #GYRO TIME RAWRATE
669 46678 #GYRO TIME RAWRATE
670 46040 #GYRO TIME RAWRATE
671 46290 #GYRO TIME RAWRATE
672 45624 #GYRO TIME RAWRATE
673 46550 #GYRO TIME RAWRATE
674 46284 #GYRO TIME RAWRATE
675 46215 #GYRO TIME RAWRATE
676 46650 #GYRO TIME RAWRATE
677 45774 #GYRO TIME RAWRATE
678 46337 #GYRO TIME RAWRATE
679 46237 #GYRO TIME RAWRATE
680 46686 #GYRO TIME RAWRATE
681 46472 #GYRO TIME RAWRATE
682 46291 #GYRO TIME RAWRATE
683 44931 #GYRO TIME RAWRATE
684 46016 #GYRO TIME RAWRATE
685 46618 #GYRO TIME RAWRATE
686 46424 #GYRO TIME RAWRATE
687 46687 #GYRO TIME RAWRATE
688 46257 #GYRO TIME RAWRATE
689 46013 #GYRO TIME RAWRATE
690 46242 #GYRO TIME RAWRATE
691 46345 #GYRO TIME RAWRATE
